Time (s),X_ego,Y_ego,Yaw_ego,X_1,Y_1,Yaw_1,X_2,Y_2,Yaw_2,X_3,Y_3,Yaw_3,X_4,Y_4,Yaw_4,X_5,Y_5,Yaw_5,X_6,Y_6,Yaw_6
7.5,644.7443068,1613.969614,-0.693509777,,,,658.541,1608.833,-1.85456941,664.948,1602.531,2.394469561,675.162,1599.796,2.384590997,662.358,1618.115,-2.096856017,,,
8,645.4603644,1613.360255,-0.693051081,,,,658.362,1607.039,-1.680036485,664.932,1602.625,2.324656391,675.154,1599.804,2.384590997,662.293,1618.032,-2.096856017,,,
8.5,646.0306095,1612.871967,-0.693667025,,,,658.497,1605.242,-1.505503559,664.578,1603.089,2.324656391,675.146,1599.811,2.384590997,662.279,1618.029,-2.096856017,686.656,1570.563,-0.712513214
9,646.6673442,1612.324817,-0.69565256,,,,658.942,1603.495,-1.330970634,664.225,1603.553,2.324656391,675.138,1599.819,2.384590997,662.258,1618.012,-2.096856017,686.656,1570.563,-0.712513214
9.5,647.3615624,1611.727706,-0.69775248,,,,660.375,1600.673,-1.169527678,663.888,1604.089,2.211209989,675.106,1599.849,2.384590997,662.252,1618.021,-2.096856017,686.656,1570.563,-0.712513214
10,648.1420382,1611.056962,-0.695698915,,,,662.242,1598.117,-1.008084723,663.614,1604.66,2.097763588,675.074,1599.879,2.384590997,662.247,1618.042,-2.096856017,686.656,1570.563,-0.712513214
10.5,649.1814153,1610.175601,-0.694360622,,,,664.496,1595.894,-0.846641767,663.495,1604.983,2.049767033,675.042,1599.909,2.384590997,662.211,1618.011,-2.096856017,686.656,1570.563,-0.712513214
11,650.2364577,1609.281779,-0.69398338,,,,666.833,1593.557,-0.755011981,663.392,1605.311,2.001770479,675.03,1599.921,2.384590997,662.226,1618.036,-2.096856017,686.656,1570.563,-0.712513214
11.5,651.4991519,1608.211802,-0.693369311,,,,669.842,1590.594,-0.760829745,663.305,1605.644,1.953773925,675.018,1599.932,2.384590997,662.226,1618.036,-2.096856017,686.656,1570.563,-0.712513214
12,652.9207478,1606.999809,-0.693340065,,,,672.852,1587.631,-0.766647509,663.234,1605.98,1.90577737,675.006,1599.943,2.40204429,662.219,1618.023,-2.096856017,686.656,1570.563,-0.712513214
12.5,654.5105912,1605.648476,-0.694361216,,,,676.169,1584.694,-0.720105396,663.244,1606.079,1.888324078,674.994,1599.955,2.419497582,662.182,1617.959,-2.096856017,686.656,1570.563,-0.712513214
13,656.2961532,1604.127802,-0.696821925,,,,679.767,1581.558,-0.720105396,663.255,1606.177,1.870870785,675.006,1599.943,2.40204429,662.182,1617.959,-2.096856017,686.656,1570.563,-0.712513214
13.5,658.2704554,1602.440329,-0.700358729,,,,,,,663.268,1606.275,1.853417493,675.018,1599.932,2.384590997,662.182,1617.959,-2.096856017,686.656,1570.563,-0.712513214
14,660.1893356,1600.795469,-0.703620697,,,,,,,663.283,1606.373,1.8359642,675.026,1599.924,2.384590997,662.182,1617.959,-2.096856017,686.656,1570.563,-0.712513214
14.5,662.6677609,1598.652022,-0.708356164,,,,,,,663.299,1606.471,1.818510908,675.034,1599.917,2.384590997,662.182,1617.959,-2.096856017,686.631,1570.585,-0.712513214
15,665.0658354,1596.549665,-0.711847556,,,,,,,663.315,1606.568,1.801057615,675.042,1599.909,2.384590997,662.209,1617.977,-2.096856017,686.606,1570.606,-0.712513214
15.5,667.611357,1594.300567,-0.713825454,,,,,,,663.315,1606.95,1.76615103,675.106,1599.849,2.384590997,662.237,1617.996,-2.096856017,686.619,1570.595,-0.712513214
16,670.2747728,1591.973696,-0.714584181,,,,,,,663.328,1607.33,1.731244445,675.17,1599.789,2.384590997,662.252,1618.021,-2.096856017,686.631,1570.585,-0.712513214
16.5,673.0787882,1589.490887,-0.71686822,,,,,,,663.355,1607.711,1.69633786,675.233,1599.728,2.384590997,661.893,1617.403,-2.096856017,686.644,1570.574,-0.712513214
17,675.9713671,1586.901563,-0.71698312,,,,,,,663.415,1608.804,1.579982576,675.245,1599.717,2.384590997,661.874,1617.311,-2.096856017,686.656,1570.563,-0.712513214
17.5,679.5170759,1583.757427,-0.713213619,,,,,,,663.601,1609.882,1.463627293,675.257,1599.706,2.384590997,661.321,1616.358,-2.096856017,686.656,1570.563,-0.712513214
18,681.9408211,1581.601292,-0.712756439,,,,,,,663.91,1610.932,1.347272009,675.245,1599.717,2.384590997,660.587,1614.828,-2.000862908,686.656,1570.563,-0.712513214
18.5,685.0154301,1578.912951,-0.71093998,,,,,,,664.441,1612.508,1.260005547,675.233,1599.728,2.384590997,660.003,1613.235,-1.904869799,686.715,1570.513,-0.712513214
19,688.1027362,1576.187695,-0.713669614,,,,,,,,,,675.245,1599.717,2.384590997,659.563,1611.478,-1.852509921,686.773,1570.462,-0.712513214
19.5,691.2303664,1573.431942,-0.70943344,,,,,,,,,,675.257,1599.706,2.384590997,659.294,1609.65,-1.695430289,686.831,1570.412,-0.712513214
